A|art.|un|
LAVATORY|XXX|toilette, lavatoria; latrine|
LAVE|v.|lavar, rinsar|
LAVENDER|XXX|lavende|
LAVISH|adj.|liberal, generosi, prodigal|
LAVISH|v.|prodigar|
LAW|XXX|lege, statute, decrete; (jurisprudence) jure|
LAW COURT|XXX|tribunale|
LAWFUL|XXX|legal (-itá), legitim|
LAWLESS|XXX|ínlegal, arbitrari, sin leges|
LAWN|XXX|gazon, (material) linon|
LAWN-TENNIS|XXX|ténnis|
LAWSUIT|XXX|processu|
LAWYER|XXX|legist, jurist|
LAX|XXX|lax (-itá)|
LAXATIVE|adj.|laxativ|
LAXATIVE|n.|laxative|
LAY|adj.|laic (-o)|
LAY|v.|posir, metter. jacentar; (eggs) posir, ovar; (ghost) exorcisar; (tablecloth) covrir li table; (wager) pariar; (lay dust) abatter|
LAY DOWN|v.|statuer, prescrir, definir, decreter|
LAY IN|v.|(store) aprovisionar|
LAY ON|v.|aplicar; (strike) batter|
LAY OPEN|v.|exposir, decovrir, decelar|
LAY OUT|v.|extenDer; (money) expender, deborsar; (corpse) apretar|
LAY SIEGE|v.|assediar (-ation)|
LAY SIEGE TO|v.|assediar|
LAY UP|v.|amassar, aprovisionar|
LAY WASTE|v.|devastar|
LAY-FIGURE|XXX|marionette, figura|
LAYER|hort.|marcotte; (geol.) strate; (de)positor|
LAZY|XXX|pigri, indolent|
LEA|XXX|herbiera, prate|
LEAD|n.|(metal) plumbe; (for pencils) grafite; (naut.) sonde|
LEAD|n.|duction, direction; precedentie|
LEAD|v.|(conduct) ducter, guidar, directer; (go in front) preceder; (cause) causar, far; (lead off) comensar; (lead astray) seducter|
LEAD|v.|plumbar|
LEADEN|XXX|plumbin, plumbic; inert|
LEADER|n.|(con)duetor, chef; articul redactoral|
LEAF|XXX|folie (-at, -age, -ette, -osi); (of table etc.) clappe|
LEAGUE|n.|liga, fédere; (distance) tri milies|
LEAGUE|v.|oonfederar, alliar, ligar|
LEAK|v.|(to leak out) divulgar se|
LEAK|n.|licc (-ar)|
LEAL|XXX|loyal, fidel|
LEAN|adj.|magri|
LEAN|n.|carne sin grasse|
LEAN|v.|(for support) apoyar; (incline) inclinar (-ation)|
LEANINGS|XXX|inclination|
LEAP|n.|salta (-ar)|
LEAP-FROG|XXX|cise-cap|
LEAP-YEAR|XXX|annu bisextil|
LEARN|v.|aprenDer (-sor); reciver information, audir|
LEARNED|XXX|erudit, doct, expert, versat (in)|
LEARNER|XXX|scolero, elevo, aprensor; aprentise|
LEARNING|XXX|erudition, saventie|
LEASE|n.|lua-contrate|
LEASE|v.|(to take) luar, arendar; (to let) forluar|
LEASE-HOLD|XXX|arenda|
LEASH|XXX|cupla-bande|
LEAST|adj.|max micri, minim|
LEATHER|XXX|cute (-in)|
LEAVE|n.|permission, licentie, vacantie, congedie, adío|
LEAVE|v.|lassar; (abandon) forlassar, abandonar; (depart) departer, forviagear; surtir; (bequeath) legar, testar|
LEAVE ALONE|v.|lassar tranquil|
LEAVE BEHIND|v.|poslassar|
LEAVE BEHIND|v.|poslassar, lassar detra|
LEAVE IN THE LURCH|v.|abandonar, monstrar se ínfidibil|
LEAVE OFF|v.|cessar|
LEAVEN|v.|fermentar, levenar|
LEAVEN|n.|leven|
LEAVINGS|XXX|rest(age)|
LECHER|XXX|libertino (-isme), lascivon|
LECTERN|XXX|pupitre|
LECTURE|v.|far un discurse|
LECTURE|n.|discurse, lection; reprimande|
LEDGE|XXX|corniche|
LEDGER|XXX|chef-libre, contolibre|
LEE|XXX|sub li vent|
LEECH|XXX|sanguisuc|
LEEK|XXX|porro|
LEER|n.|oculada lasciv|
LEER|v.|regardachar, regardar maliciosimen|
LEES|XXX|sediment|
LEEWAY|XXX|drive; témpor perdit|
LEFT|adj.|levul|
LEFT-HANDER|XXX|levulon|
LEG|XXX|gambe; (of garment) gambale|
LEGACY|XXX|legate|
LEGAL|XXX|legal (-itá, -isar), legitim (-ar)|
LEGATE|XXX|legato|
LEGATEE|XXX|legatario|
LEGATION|XXX|legation|
LEGEND|XXX|legende (-ari)|
LEGERDEMAIN|XXX|jongleríe, escamotage|
LEGERDEMAINLEGGED|XXX|-gambat|
LEGGINGS|XXX|gamache, gambiere|
LEGIBLE|XXX|leibil (-itá)|
LEGION|XXX|legion (-ario)|
LEGISLATE|v.|legislator (-ion, -iv, -ura)|
LEGITIMATE|adj.|legitim (-ar, -itá)|
LEGUME|n.|(bot.) legúmine (-osi)|
LEISURE|XXX|ocie (-osi)|
LEISURELY|XXX|lent(men)|
LEMMING|XXX|lemming|
LEMON|XXX|citron, limon|
LEMONADE|XXX|limonade|
LEND|v.|prestar; dar, auxiliar|
LENGTH|XXX|longore|
LENGTHEN|v.|alongar, prolongar|
LENGTHY|XXX|long; enoyant, tedosi|
LENIENT|XXX|mild, indulgent, clement (-ie)|
LENITIVE|XXX|lenitiv, palliativ|
LENS|XXX|linse; (bi-convex) lupe|
LENT|XXX|carema|
LENTICULAR|XXX|linsiform|
LENTIL|n.|(bot.) lentille|
LEONINE|XXX|leonin|
LEOPARD|XXX|leoparde|
LEPER|XXX|leproso|
LEPROSY|XXX|lepra (-osi)|
LESION|XXX|lesion|
LESS|adv.|minu|
LESS AND LESS|XXX|sempre minu|
LESSEE|XXX|locatario, luator|
LESSEN|v.|diminuer (se)|
LESSER|XXX|inferiori|
LESSON|XXX|lecion; (eccl.) letion|
LEST|XXX|pro timore que; por que ... ne|
LET|v.|(allow) lassar, permisser; (let alone) lassar; a tacer pri; (lease) forluar; (optative) lass...; (subjunctive) mey|
LET ALONE|XXX|a tacer pri|
LET GO|v.|liberar, lassar ear; (naut.) filar|
LET IT CAME|XXX|it mey venir|
LET ME KNOW|XXX|ples avisar me|
LET OFF|v.|far exploDer; (fig.) pardonar, excusar|
LET OUT|v.|(clothes) extender, alargar; (divulge) divulgar; (free) lassar surtir, lassar escapar|
LETHAL|XXX|mortific, mortatori|
LETHARGY|XXX|letargie (-ic)|
LETTER|XXX|lettre (-bux); (of alphabet) líttere|
LETTER-RACK|XXX|lettriere, porta-lettre|
LETTERED|XXX|litterat; erudit, doct|
LETTERPRESS|XXX|textu|
LETTERS|XXX|litteratura|
LETTUCE|XXX|latug|
LEVEE|XXX|reception|
LEVEL|adj.|plan, plat|
LEVEL|n.|nivelle, egalitá; (instr.) nivellette|
LEVEL|v.|aplatar, egalisar, nivellar; (a gun) apuntar, visar; (a blow) lansar|
LEVEL-CROSSING|XXX|nivell-passage|
LEVER|v.|leverar|
LEVER|n.|levere, levette|
LEVERET|XXX|leporello|
LEVITATION|XXX|levation|
LEVITY|XXX|levitá, frivolitá|
LEVY|v.|imposir; (troops) levar, recrutar|
LEVY AN IMPOST|v.|impostar|
LEWD|XXX|ínchast, libertin, debochant|
LEXICON|XXX|lexico (-al, -ografie); dictionarium|
LIABILITY|n.|(propensity) inclination, tendentie; (debt) passive, debite|
LIABLE|XXX|responsabil (-itá), tuchabil; (liable to) inclinat a|
LIAISON|XXX|intriga de amore, relation amorosi; conexion, cooperation|
LIANA|XXX|liane|
LIAR|XXX|mentitor, mentiard|
LIBATION|XXX|libation|
LIBEEAL|XXX|libeeal (-isme), generosi (-itá)|
LIBEL|n.|calumnie, defamation|
LIBEL|v.|defamar, calumniar|
LIBERATE|v.|liberar (-ation, -ator)|
LIBERTINE|adj.|libertin (-o, -isme)|
LIBERTY|XXX|libertá; privilegie|
LIBRARY|XXX|biblioteca (-ario)|
LIBRATION|XXX|libration|
LIBRETTO|XXX|librette|
LICENCE|XXX|licentie, libertá, permission, autoritá|
LICENSE|v.|autorisar|
LICENTIATE|XXX|licentiate|
LICENTIOUS|XXX|ínfrenat, licentiosi|
LICHEN|XXX|lichen|
LICK|n.|lecca (-ar, -on)|
LICKSPITTLE|XXX|leccard, adulator|
LID|n.|(cover) covrette, covricul; (eyelid) palpebre|
LIE|n.|mentie; (slope) cline|
LIE|v.|jacer, reposar; (tell a lie) mentir; (remain) restar|
LIE IDLE|v.|chomar|
LIE IN WAIT|v.|guatar|
LIE IN WAIT|v.|inboscar, guatar|
LIE OVER|v.|star ajornat|
LIE TO|v.|(naut.) capear|
LIEGE|adj.|vassali|
LIEUTENANT|XXX|leutenante|
LIFE|XXX|vive, existentie; vivacitá; aferes homan; (biography) biografie|
LIFE-ANNUITY|XXX|rente vive-durant|
LIFE-SIZE|XXX|grandore natural|
LIFEBELT|XXX|cintura salvatori|
LIFEBOAT|XXX|bote salvatori|
LIFEBUOY|XXX|boye salvatori|
LIFELESS|XXX|sin vive, ínanimat, mort|
LIFELIKE|XXX|natural|
LIFELONG|XXX|vive-durant, por li tot vive|
LIFETIME|XXX|vive-témpor|
LIFT|n.|lift, elevator; auxilie|
LIFT|v.|levar; (fog) disperser se|
LIGAMENT|XXX|ligament|
LIGATURE|XXX|ligatura; bande, corde ligativ|
LIGHT|adj.|(of weight) levi; (easy) facil, lucid, clar, luminosi; (of hair) blond|
LIGHT|n.|luce, lúmine; foy|
LIGHT|v.|accenDer, inflammar|
LIGHT ON|v.|incontrar; decovrir|
LIGHT UP|v.|iluminar|
LIGHT-FOOTED|XXX|agil (-ita)|
LIGHTEN|v.|aclarar; iluminar, lucidar; (ease) aleviar; (lightning) fulminar|
LIGHTER|n.|(boat) chalande, chalupe; (cigarette lighter) accendette|
LIGHTHEADED|XXX|deliriosi|
LIGHTHEARTED|XXX|gay, joyosi, de levi anim|
LIGHTHOUSE|XXX|fare|
LIGHTING|XXX|ilumination; lucement|
LIGHTLY|adv.|levimen, facilmen|
LIGHTNING|XXX|fúlmine, fulguration|
LIGHTNING CONDUCTOR|XXX|para-fulmine|
LIGHTNING CONDUCTOR|XXX|para-fúlmine|
LIGHTNING STROKE|XXX|fúlmincolpe|
LIGHTS|n.|(lungs) pulmones|
LIGHTSHIP|XXX|fare-nave|
LIGNEOUS|XXX|lignin|
LIGNITE|XXX|lignite|
LIKE|adj.|simil, egal|
LIKE|adv.|quam|
LIKE|n.|lu simil, lu egal|
LIKE|v.|amar, apreciar; (to wish) voler|
LIKELY|XXX|versimil (-itá), probabil; (believable) credibil|
LIKEN|v.|comparar con|
LIKENESS|XXX|similitá; portrete, image|
LIKEWISE|XXX|anc; (similarly) similmen|
LIKING|XXX|gust, inclination, preferentie, predilection|
LILAC|n.|lila|
LILT|XXX|ritme, melodie, cadentie|
LILY|XXX|lilie|
LILY OF THE VALLEY|XXX|convallaria|
LIMB|XXX|membre; tranche; (astr.) limbe|
LIMBO|XXX|borde del inferne|
LIME|n.|(fruit) limon; (tree) tilie; (min.) calce; (birdlime) colle|
LIMEJUICE|XXX|succ de citron|
LIMEKILN|XXX|calc-forn, calciera|
LIMELIGHT|XXX|Drummond-luce, luce oxihidrogeni; (fig.) public atention|
LIMESTONE|XXX|calc-petre|
LIMEWASH|v.|calcinar|
LIMIT|XXX|límite (-ar, -ation)|
LIMITED COMPANY|XXX|societé anonim, societé actionari|
LIMP|adj.|lax, flexibil, fatigat|
LIMP|v.|claudicar|
LIMPID|XXX|limpid (-itá), diafan|
LINDEN|XXX|tilie|
LINE|n.|strec, linea (-ar, -al, -ari); (cord) corde; (row) file, range; (of poetry) verse; (rail) rel|
LINE|v.|(garments) foderar; (line up) alinear (se)|
LINEAGE|XXX|genealogie|
LINEAMENT|XXX|trate, lineament|
LINEN|adj.|linin|
LINEN|n.|toale; (clothes) linage|
LINEN WAREHOUSE|XXX|linageria|
LINER|XXX|nave de linea, transoceanico|
LING|n.|(fish) molve; (bot.) erica|
LINGER|v.|tardar, demorar, lentear; (remain) restar|
LINGO|XXX|jargon, linguach|
LINGUAL|XXX|lingual|
LINGUIST|XXX|linguist (-ic, -ica)|
LINIMENT|XXX|liniment, frotta-remedie|
LINING|XXX|fódere, substoff|
LINK|n.|(chain) catenun; caten-anelle; (fig.) bande|
LINK|v.|unir, ligar|
LINKS|n.|(golf) golf-terren|
LINNET|XXX|linotte|
LINOLEUM|XXX|linoleum|
LINSEED|XXX|lin-semes|
LINT|XXX|charpie|
LINTEL|XXX|lintel, transtrave (de porta)|
LION|XXX|leon (-a, -in, -ello)|
LIP|XXX|labie (-al)|
LIPS|v.|chuchotar; mispronunciar 's' o 'z'|
LIQUEFY|v.|liquificar, liquidisar; fonder|
LIQUID|adj.|liquid (-ar, -ation)|
LIQUID|n.|liquide, fluide|
LIQUOR|XXX|liquore, alcohol|
LIQUORICE|XXX|glicirize, liquorice|
LISSOM|XXX|flexibil, gracil|
LIST|v.|(in)listar, registrar; inclinar se|
LIST|n.|liste, tabelle, catalog; inclination|
LISTEN|v.|escutar|
LISTLESS|XXX|inert, languid|
LITANY|XXX|litaníe|
LITERAL|XXX|litteral|
LITERARY|XXX|litterari|
LITERATURE|XXX|litteratura|
LITHE|XXX|flexibil|
LITHOGRAPHY|XXX|litografie (-ic)|
LITIGATE|v.|processuar, litigiar|
LITIGATION|XXX|litigie (-osi)|
LITIGIOUS|XXX|litigiosi, processuaci|
LITRE|XXX|litre|
LITTER|n.|jettallia; (of pigs) covatura, ventrade; (stretcher) portuore|
LITTER|v.|metter in desordine|
LITTLE|adj.|micri, litt (-itá, -esse)|
LITTLE|adv.|poc, alquant|
LITTLE BY LITTLE|XXX|poc a poc|
LITTORAL|adj.|litoral|
LITTORAL|n.|litorale|
LITURGY|XXX|liturgie (-ic)|
LIVE|adj.|vivi, vivent; ardent|
LIVE|v.|viver; (dwell) logiar, habitar, resider|
LIVELIHOOD|XXX|subsistentie|
LIVELONG|XXX|(livelong day) li tot die|
LIVELY|XXX|vivaci|
LIVER|anat.|hépate|
LIVERY|XXX|livré|
LIVESTOCK|XXX|pecude|
LIVID|XXX|livid (-itá)|
LIVING|XXX|subsistentie; (eccl.) beneficie, prebende|
LIZARD|XXX|lacerte|
LO!|XXX|vi!|
LOAD|n.|carga; (abstract) charge|
LOAD|v.|cargar|
LOADSTAR|XXX|stelle polari, stelle guidant|
LOADSTONE|XXX|magnete|
LOAF|n.|pane, pane-bul|
LOAF|v.|flanar|
LOAM|XXX|grass terre, hum|
LOAN|n.|(borrowed) prunta; (lent) presta|
LOATH|XXX|avers, desinclinat|
LOATHE|v.|abominar, detestar|
LOATHSOME|XXX|nauseativ, desgustant, abominabil|
LOBBY|XXX|vestibul|
LOBE|XXX|lob (-ette)|
LOBELIA|XXX|lobelia|
LOBSTER|XXX|homare|
LOCAL|XXX|local (-isar, -itá)|
LOCATE|v.|locar, localisar|
LOCATION|XXX|situation; localisation|
LOCH|XXX|lago; golfe|
LOCK|n.|serrure (-ero); (of hair) bucle; (canal) scluse|
LOCK|v.|cluder per clave, clave-cluder; serrar|
LOCK BEHIND|v.|regardar circum se|
LOCKER|n.|scaf|
LOCKET|XXX|medallion|
LOCKGATE|XXX|scluse-porta|
LOCKJAW|XXX|tétano|
LOCKOUT|n.|"look-out", bloccal exclusion|
LOCKOUT|v.|excluDer (-sion)|
LOCOMOTION|XXX|locomotion|
LOCOMOTIVE|XXX|locomotive|
LOCUM TENENS|XXX|vicario, substitute|
LOCUST|XXX|locuste|
LODE|min.|vene|
LODGE|n.|logí; domette; (Masonic) loge|
LODGE|v.|logiar, habitar; (lodge persons) albergar; (a protest) deposir; (troops) inlogiar|
LODGER|XXX|locatario, chambre-luator|
LODGING|XXX|logiment; (mil.) quartere|
LOFT|XXX|subtegmente|
LOFTY|XXX|elevat, alt; sublim|
LOG|XXX|bloc, trunc; (logbook) diarium; (naut.) logg (-lin)|
LOGARITHM|XXX|logaritme|
LOGIC|n.|logica (-al, -o)|
LOGICAL|XXX|logic|
LOGWOOD|XXX|campeche|
LOIN|XXX|lumbe, hanche; (meat) lumbage|
LOITER|v.|tardar, lentear, flanar|
LOLL|v.|extender se; flanar; (of tongue) pender exter|
LOLLIPOP|XXX|suc-bonbone, sucrage|
LONE|XXX|solitari, isolat|
LONELINESS|XXX|solitá|
LONELY|XXX|solitari, desert, morni, isolat|
LONG|adj.|long (-atri)|
LONG|adv.|long(men)|
LONG|v.|desirar fortmen, sospirar|
LONG SINCE|adv.|ante long témpor, ja de longmen; de tande|
LONG-LIVED|XXX|long-vivent|
LONG-SIGHTED|XXX|presbit, long-vident|
LONG-SUFFERING|XXX|long-anim, patient|
LONGEVITY|XXX|long-viventie|
LONGING|XXX|fort desire|
LONGITUDE|XXX|longitúdine (-al)|
LONGWAYS|XXX|secun li longore|
LONGWINDED|XXX|tedant, tedosi|
LOOK|v.|regardar, spectar|
LOOK AFTER|v.|cuidar|
LOOK ASKANCE AT|v.|regardar con suspection|
LOOK FOR|v.|serchar, expectar|
LOOK FORWARD TO|v.|anticipar con plesura|
LOOK INTO|v.|investigar|
LOOK LIKE|v.|similar, aspecter|
LOOK OUT!|XXX|garda!, atention!|
LOOK TO|v.|fider a, contar sur|
LOOK-OUT|XXX|perspective; observator|
LOOK-OUT TOWER|XXX|belvedere|
LOOK-OUT TOWER|XXX|belvidere|
LOOKING-GLASS|XXX|spegul|
LOOM|v.|aparir lentmen in lontanie|
LOOM|n.|textuore|
LOOP|v.|lacear|
LOOP|n.|lace, node current|
LOOP THE LOOP|v.|culbutar|
LOOPHOLE|XXX|apertura; (way out) via escapatori|
LOOSE|adj.|lax, deligat, infirm, labil; ínprecis; debochant|
LOOSE|v.|liberar, decatenar|
LOOSEN|v.|deligar, laxar, detender|
LOOT|v.|pilliar (-age, -ator) marodar|
LOP|v.|dehaccar|
LOP-EARED|XXX|con oreles pendent|
LOPPINGS|XXX|ramallia|
LOPSIDED|XXX|ínsimetric|
LOQUACIOUS|XXX|parlaci, babillaci, loquaci|
LORD|v.|(to lord it) tirannisar|
LORD|n.|dómino; nobilo; Senior; mastro; (Title) Lord|
LORDLY|XXX|nobil, magnanim|
LORDSHIP|XXX|(your lordship) vor Seniorie, vor Excellentie|
LORE|XXX|instruction, scientie|
LORGNETTE|XXX|lorniette|
LORRY|XXX|carre, camion, furgon|
LOSE|v.|perdir; (of clock) tardar; (one's temper) incolerar se|
LOSE HOLD OF|v.|perdir li guvernantie de|
LOSE ONE'S BREATH|v.|har perdit li hala|
LOSS|XXX|perde|
LOT|XXX|fate, destine; (collection) portion, parte, quote; quantitá; (drawn) lot (-ar)|
LOTH|XXX|avers, desinclinat|
LOTION|XXX|lotion|
LOTTERY|XXX|loteríe|
LOTUS|XXX|lotus|
LOUD|XXX|sonori, bruiosi, vocosi, fort|
LOUD-SPEAKER|XXX|altparlator|
LOUGH|XXX|golfe; lago|
LOUNGE|n.|salon; sofa|
LOUNGE|v.|flanar; reposar|
LOUSE|XXX|pedicul (-at, -ut)|
LOUT|XXX|grossiero, rustico, plumpon|
LOVABLE|XXX|amabil|
LOVE|n.|amore, afection; (sport) null, zero|
LOVE|v.|amar|
LOVELY|XXX|bell, graciosi, charmant|
LOVER|XXX|amante; (of art, sport) amator|
LOVING|XXX|amant, amorosi|
LOW|adj.|bass; (deep) profund; (of mind) vili, bass; (in spirits) trist, morni; (weak) debil; (of dress) decolté|
LOW|v.|muir|
LOWER|adj.|inferiori, plu bass|
LOWER|v.|abassar; far descenDer; diminuer; humilar; (of weather) menaciar|
LOWLAND|XXX|bass terren, planage|
LOWLY|XXX|humil, bass|
LOYAL|XXX|loyal (-itá, -ist), fidel|
LOZENGE|n.|(sweet) pastille; (geom.) rombe|
LTNCH|v.|linchar|
LUBRICATE|v.|lubrificar (-ation)|
LUBRICIOUS|XXX|lubric|
LUCERNE|n.|(bot.) lucerne|
LUCID|XXX|lucid (-itá, -ar), clar, distint|
LUCIFER|n.|(match) inflammette|
LUCK|XXX|fortun, felicie; hasarde, chance|
LUCKY|XXX|felici, de bon chance|
LUCKY CHARM|XXX|amulette, porta-felicie|
LUCRE|XXX|lucre (-ar, -ativ)|
LUCUBRATION|XXX|dissertation, lucubration|
LUDICROUS|XXX|ridicul, drolli, risibil, burlesc|
LUFF|n.|(naut.) luv (-ar)|
LUG|v.|trenar|
LUGGAGE|XXX|bagage|
LUGGER|XXX|lugre|
LUGUBRIOUS|XXX|lugubri, morni, funebri|
LUKEWARM|XXX|tepid; índiferent|
LULL|n.|pause; (mar.) acalmie|
LULL|v.|lullar, calmar|
LULLABY|XXX|lullicant|
LUMBAGO|XXX|lumbago|
LUMBAR|med.|lumbari|
LUMBER|XXX|antiquallia, carpentallia, ligne|
LUMINARY|XXX|astre|
LUMINOUS|XXX|luminosi (-tá), lucent|
LUMP|v.|amassar|
LUMP|n.|bul, masse, pezze; (of earth) glebe; (protuberance) bosse|
LUMPISH|XXX|ponderosi, pesant, gross|
LUMPY|XXX|bulbosi|
LUNACY|XXX|dementie, alienitá, frenesie|
LUNAR|XXX|lunari|
LUNATIC|n.|alienato, lunatico|
LUNATIC|adj.|lunatic|
LUNCH|XXX|lunch (-ar)|
LUNG|XXX|pulmon (-ari)|
LUNGE|XXX|pussa, colpe|
LUPIN|XXX|lupine|
LUPUS|XXX|lupus|
LURCH|v.|chancelar; (naut.) girar|
LURE|XXX|lure (-ar)|
LURID|adj.|livid; nigri-yelb; lugubri, sinistri|
LURK|v.|guatar|
LUSCIOUS|XXX|deliciosi, gustosissim|
LUSH|XXX|sucosi, rich; verdi|
LUST|XXX|sensualitá, lascivitá, voluptá, apetite, cupiditá|
LUSTFUL|XXX|lasciv|
LUSTRE|XXX|lustre, brillie|
LUSTROUS|XXX|lustrosi, splendent|
LUSTY|XXX|robust, vigorosi|
LUTE|XXX|lute; (chem.) mastic|
LUXURIANT|XXX|luxuriosi, exuberant|
LUXURIATE|v.|luxuriar|
LUXURY|XXX|luxu (-osi)|
LYCEUM|XXX|licéo (-ano)|
LYE|XXX|lixive|
LYING|adj.|mentaci|
LYMPH|XXX|limfa (-tic)|
LYNX|n.|linx|
LYRE|XXX|lire|
LYRIC|adj.|liric|
LYRIC|n.|lirica|
MACABRE|XXX|macabre|
MACADAM|XXX|macadam (-isar)|
MACARONI|XXX|macaroni|
MACAROON|XXX|macron|
MACE|XXX|mazza|
MACERATE|v.|macerar (-ation)|
MACHINATIONS|XXX|intrigas|
MACHINE|XXX|machine (-al, -ero, -eríe, -ist)|
MACKEREL|XXX|macrel|
MACKINTOSH|XXX|ínpermeabile, mantó de pluvie|
MAD|XXX|alienat, dement, frenetic; (animals) rabiosi, rabiat|
MADAM|XXX|seniora|
MADDEN|v.|far furiosi, infuriar|
MADHOUSE|XXX|dom por alienates, asil|
MADONNA|XXX|madonna|
MADREPORE|XXX|madrepore, coralle|
MADRIGAL|XXX|madrigal|
MAELSTROM|XXX|virl|
MAGAZINE|n.|(store) magasin; (periodical) gazette, revúe; (powder) pulveriere|
MAGENTA|XXX|magenta|
MAGGOT|XXX|larve, verme|
MAGI|XXX|magos|
MAGIC|n.|magie|
MAGIC LANTERN|XXX|optic lanterne|
MAGIC-LANTERN|XXX|lanterne magic|
MAGICAL|XXX|magic|
MAGICIAN|XXX|magico|
MAGISTERIAL|XXX|magistral|
MAGISTRACY|XXX|magistratura|
MAGISTRATE|XXX|magistrate, justiciario|
MAGNANIMOUS|XXX|magnanim (-itá)|
MAGNATE|XXX|magnate|
MAGNESIA|XXX|magnesie|
MAGNESIUM|XXX|magnesium|
MAGNET|XXX|magnete (-ic, -isme, -isar)|
MAGNIFICENT|XXX|magnific (-entie), grandiosi, splendid|
MAGNIFY|v.|agrandar, amplifacar, elargar; laudar, exaltar|
MAGNIFYING-GLASS|XXX|lupe|
MAGNILOQUENT|XXX|pomposi|
MAGNITUDE|XXX|grandesse, grandore|
MAGNOLIA|XXX|magnolia|
MAGPIE|XXX|piga|
MAHOGANY|XXX|mahagon|
MAID|XXX|puella, yuna; virgina; (servant) servitora|
MAIDEN|adj.|de puella; virginal; (speech) debutant|
MAIDENHEAD|XXX|virginitá|
MAIDENLY|XXX|virginal, chast, pur|
MAIL|n.|(armour) curasse; (letters) postage|
MAIL|v.|inviar per li post, inpostar|
MAIL BAG|XXX|lettre-sac|
MAIM|v.|mutilar, paralisar|
MAIN|adj.|chef, principal, cardinal|
MAIN|n.|ocean, mare apert; (water main) tub; (electr.) rete del lucement|
MAINLAND|XXX|continente, chef terra|
MAINLY|XXX|precipue|
MAINMAST|XXX|grand mast|
MAINTAIN|v.|mantener, subtener, conservar; afirmar|
MAIZE|XXX|máis|
MAJESTIC|XXX|majestic|
MAJESTY|XXX|majestie; (title) majestá|
MAJOLICA|XXX|majolica|
MAJOR|adj.|plu grand, majori, plenetosi|
MAJOR|n.|(rank) major|
MAJORITY|XXX|majorité, pluparte; (age) majoritá|
MAJUSCULE|XXX|majuscul|
MAKE|n.|(kind) fabrica; (of clothes) fasson|
MAKE|v.|far, fabricar, formar, crear; (compel) obligar, fortiar; (earn) ganiar|
MAKE A FACE|v.|grimassar|
MAKE A FOOL OF|v.|ridiculisar|
MAKE A FUSS|v.|far desfacilitás|
MAKE ALLOWANCES FOR|v.|indulger|
MAKE AMENDS|v.|compensar|
MAKE AN ABSTRACT|v.|resumar|
MAKE ASHAMED|v.|ahontar|
MAKE AWAY WITH|v.|mortar; abolir|
MAKE BELIEVE|v.|ficter|
MAKE BELIEVE|v.|pretexter|
MAKE GOOD|v.|compensar|
MAKE GOOD|v.|successar; reparar, compensar|
MAKE LOVE|v.|cortesar|
MAKE MERRY|v.|amusar se, delectar se, divertisser se|
MAKE OFF|v.|forcurrer, escapar|
MAKE ONE'S DEBUT|v.|debutar|
MAKE OUT|v.|deciffrar; discerner; comprender; compilar; (claim) pretender|
MAKE PAST|v.|ligar, amarrar|
MAKE PEACE|v.|pacificar, (re)conciliar|
MAKE PRECISE|v.|preciser|
MAKE UP|v.|composir; compleer; (the face) grimar se|
MAKE UP FOR|v.|compensar|
MAKE UP ONE'S MIND|v.|prender un decision, decider se, resoluer|
MAKESHIFT|adj.|provisori, surogat|
MAKESHIFT|n.|medie provisori, compromisse|
MALADROIT|XXX|ínhabil|
MALADY|XXX|maladie, morbe|
MALAPROPOS|XXX|ínconvenent|
MALARIA|XXX|malaria|
MALCONTENT|XXX|malcontent|
MALE|XXX|mascul (-in), mann|
MALEDICTION|XXX|maledition|
MALEFACTOR|XXX|malefator, malard|
MALEVOLENT|XXX|malevolent (-ie)|
MALFORMATION|XXX|malformation, deformitá|
MALICE|XXX|malicie (-osi), malevolentie|
MALIGN|adj.|malin, nociv|
MALIGN|v.|calumniar, defamar|
MALIGNANT|XXX|malefic|
MALINGER|v.|simular maladie|
MALINGERER|XXX|simulante|
MALLEABLE|XXX|malleabil (-itá)|
MALLET|XXX|martelle lignin|
MALLOW|XXX|malve|
MALPRACTICE|XXX|conduida illicit, action ínlicet|
MALT|XXX|malt|
MALT-KILN|XXX|malt-forn|
MALTREAT|v.|maltractar (-ation)|
MALVERSATION|XXX|corruption, defraudation|
MAMMA|XXX|mamá|
MAMMAL|n.|mammifere, mammale|
MAMMALIAN|n.|mammifere, mammale|
MAMMARY|XXX|mammari|
MAMMON|XXX|mammon|
MAMMOTH|XXX|mámmut|
MAN|v.|equipar, mannar|
MAN|n.|hom; (male) mann; (at draughts) pion|
MAN-OF-WAR|XXX|nave de guerre|
MANACLE|XXX|manu-catene, manacle|
MANAGE|v.|administrar, gerer, directer, guvernar; successar, far; (a household) menagear|
MANAGEMENT|XXX|administration, gerentie|
MANDARIN|XXX|mandarino; (fruit) mandarine|
MANDATE|XXX|mandate (-ario), comission|
MANDIBLE|XXX|machuore|
MANDOLINE|XXX|mandoline (-ist)|
MANDRAKE|XXX|mandragore|
MANDRILL|XXX|mandrill|
MANE|XXX|crine|
MANEGE|XXX|manege|
MANES|myth.|mane|
MANFUL|XXX|viril, mannic; valorosi|
MANGANESE|XXX|mangane (-ic)|
MANGE|XXX|scabie (-osi)|
MANGEL-WURZEL|XXX|bet-rap|
MANGER|XXX|manjuore, crippe|
MANGLE|n.|mangle (-ar)|
